model,side,label,threshold,sample_mode,evaluated_years,complete_years,candidate_rows,signal_count,coverage,precision,natural_precision,actual_up_rate,actual_down_rate,avg_future_ret_3w,avg_future_mfe_3w,avg_future_mae_3w,natural_avg_future_ret_3w,precision_lift,avg_return_lift
lightgbm,bottom,manual_weak_bottom_label,0.5,all_signals,6,5,80,4,0.05,0.5,0.2625,0.5,0.5,0.040986930000000005,0.0788783,-0.09442178500000001,0.012450520499999998,0.2375,0.028536409500000005
lightgbm,bottom,manual_weak_bottom_label,0.5,non_overlapping,6,5,80,3,0.0375,0.3333333333333333,0.2625,0.3333333333333333,0.6666666666666666,-0.005629803333333336,0.03934357333333333,-0.09698826666666667,0.012450520499999998,0.0708333333333333,-0.018080323833333335
lightgbm,bottom,manual_weak_bottom_label,0.6,all_signals,6,5,80,1,0.0125,1.0,0.2625,1.0,0.0,0.18083713,0.19748248,-0.08672234,0.012450520499999998,0.7375,0.1683866095
lightgbm,bottom,manual_weak_bottom_label,0.6,non_overlapping,6,5,80,1,0.0125,1.0,0.2625,1.0,0.0,0.18083713,0.19748248,-0.08672234,0.012450520499999998,0.7375,0.1683866095
lightgbm,bottom,manual_weak_bottom_label,0.7,all_signals,6,5,80,1,0.0125,1.0,0.2625,1.0,0.0,0.18083713,0.19748248,-0.08672234,0.012450520499999998,0.7375,0.1683866095
lightgbm,bottom,manual_weak_bottom_label,0.7,non_overlapping,6,5,80,1,0.0125,1.0,0.2625,1.0,0.0,0.18083713,0.19748248,-0.08672234,0.012450520499999998,0.7375,0.1683866095
lightgbm,top,manual_weak_top_label,0.3,all_signals,6,5,111,13,0.11711711711711711,0.3076923076923077,0.0990990990990991,0.5384615384615384,0.46153846153846156,-0.016422033076923078,0.030635776153846155,-0.05403750384615384,0.00734634927927928,0.20859320859320862,-0.023768382356202357
lightgbm,top,manual_weak_top_label,0.3,non_overlapping,6,5,111,9,0.08108108108108109,0.2222222222222222,0.0990990990990991,0.5555555555555556,0.4444444444444444,-0.010915218888888887,0.03104001,-0.04684340666666667,0.00734634927927928,0.12312312312312311,-0.018261568168168166
lightgbm,top,manual_weak_top_label,0.4,all_signals,6,5,111,8,0.07207207207207207,0.5,0.0990990990990991,0.375,0.625,-0.036250278749999996,0.02363852625,-0.07204189625,0.00734634927927928,0.4009009009009009,-0.04359662802927928
lightgbm,top,manual_weak_top_label,0.4,non_overlapping,6,5,111,6,0.05405405405405406,0.6666666666666666,0.0990990990990991,0.16666666666666666,0.8333333333333334,-0.06339969,0.011549366666666666,-0.083955085,0.00734634927927928,0.5675675675675675,-0.07074603927927928
lightgbm,top,manual_weak_top_label,0.5,all_signals,6,5,111,3,0.02702702702702703,0.6666666666666666,0.0990990990990991,0.3333333333333333,0.6666666666666666,-0.03819906666666666,0.026968980000000004,-0.06597823,0.00734634927927928,0.5675675675675675,-0.045545415945945945
lightgbm,top,manual_weak_top_label,0.5,non_overlapping,6,5,111,3,0.02702702702702703,0.6666666666666666,0.0990990990990991,0.3333333333333333,0.6666666666666666,-0.03819906666666666,0.026968980000000004,-0.06597823,0.00734634927927928,0.5675675675675675,-0.045545415945945945
lightgbm,top,manual_weak_top_label,0.6,all_signals,6,5,111,0,0.0,,0.0990990990990991,,,,,,0.00734634927927928,,
lightgbm,top,manual_weak_top_label,0.6,non_overlapping,6,5,111,0,0.0,,0.0990990990990991,,,,,,0.00734634927927928,,
lightgbm,top,manual_weak_top_label,0.7,all_signals,6,5,111,0,0.0,,0.0990990990990991,,,,,,0.00734634927927928,,
lightgbm,top,manual_weak_top_label,0.7,non_overlapping,6,5,111,0,0.0,,0.0990990990990991,,,,,,0.00734634927927928,,
logistic,bottom,manual_weak_bottom_label,0.3,all_signals,6,5,80,21,0.2625,0.3333333333333333,0.2625,0.5238095238095238,0.47619047619047616,0.03845113142857143,0.06865335761904763,-0.03416342666666666,0.012450520499999998,0.0708333333333333,0.02600061092857143
logistic,bottom,manual_weak_bottom_label,0.3,non_overlapping,6,5,80,11,0.1375,0.45454545454545453,0.2625,0.7272727272727273,0.2727272727272727,0.05215062363636363,0.07707169090909091,-0.03339126818181818,0.012450520499999998,0.19204545454545452,0.03970010313636363
logistic,bottom,manual_weak_bottom_label,0.4,all_signals,6,5,80,17,0.2125,0.29411764705882354,0.2625,0.47058823529411764,0.5294117647058824,0.03391484764705882,0.06591374058823529,-0.02996787,0.012450520499999998,0.03161764705882353,0.021464327147058822
logistic,bottom,manual_weak_bottom_label,0.4,non_overlapping,6,5,80,10,0.125,0.4,0.2625,0.6,0.4,0.033517662999999996,0.06625861400000001,-0.031730035000000004,0.012450520499999998,0.1375,0.021067142499999997
logistic,bottom,manual_weak_bottom_label,0.5,all_signals,6,5,80,13,0.1625,0.15384615384615385,0.2625,0.38461538461538464,0.6153846153846154,0.007540182307692309,0.04328892692307692,-0.03127486,0.012450520499999998,-0.10865384615384616,-0.004910338192307689
logistic,bottom,manual_weak_bottom_label,0.5,non_overlapping,6,5,80,7,0.0875,0.2857142857142857,0.2625,0.5714285714285714,0.42857142857142855,0.021461445714285713,0.05768170142857143,-0.032928985714285715,0.012450520499999998,0.023214285714285687,0.009010925214285715
logistic,bottom,manual_weak_bottom_label,0.6,all_signals,6,5,80,10,0.125,0.1,0.2625,0.3,0.7,0.001824453999999999,0.040827016,-0.036560674,0.012450520499999998,-0.1625,-0.010626066499999998
logistic,bottom,manual_weak_bottom_label,0.6,non_overlapping,6,5,80,6,0.075,0.16666666666666666,0.2625,0.3333333333333333,0.6666666666666666,0.009672546666666665,0.04741279,-0.04150504,0.012450520499999998,-0.09583333333333335,-0.0027779738333333324
logistic,bottom,manual_weak_bottom_label,0.7,all_signals,6,5,80,10,0.125,0.1,0.2625,0.3,0.7,0.001824453999999999,0.040827016,-0.036560674,0.012450520499999998,-0.1625,-0.010626066499999998
logistic,bottom,manual_weak_bottom_label,0.7,non_overlapping,6,5,80,6,0.075,0.16666666666666666,0.2625,0.3333333333333333,0.6666666666666666,0.009672546666666665,0.04741279,-0.04150504,0.012450520499999998,-0.09583333333333335,-0.0027779738333333324
logistic,top,manual_weak_top_label,0.3,all_signals,6,5,111,10,0.09009009009009009,0.4,0.0990990990990991,0.5,0.5,-0.013627148,0.029010418,-0.049155116,0.00734634927927928,0.30090090090090094,-0.02097349727927928
logistic,top,manual_weak_top_label,0.3,non_overlapping,6,5,111,9,0.08108108108108109,0.4444444444444444,0.0990990990990991,0.4444444444444444,0.5555555555555556,-0.016967323333333333,0.028295158888888887,-0.05049955,0.00734634927927928,0.34534534534534533,-0.02431367261261261
logistic,top,manual_weak_top_label,0.4,all_signals,6,5,111,9,0.08108108108108109,0.3333333333333333,0.0990990990990991,0.5555555555555556,0.4444444444444444,-0.006519346666666666,0.03153101,-0.045934666666666665,0.00734634927927928,0.23423423423423423,-0.013865695945945946
