week_start_date,week_end_date,week_pos,manual_weak_bottom_label,future_ret_3w,future_mfe_3w,future_mae_3w,is_bottom_candidate,is_top_candidate,turning_proba,test_year,year_complete,model,side,label_col,train_rows,tuned_params_json,tuning_status,manual_weak_top_label
2021-10-11,2021-10-15,347,1.0,0.00532950,0.03165985,-0.01576973,1,0,0.45241007891870777,2021,True,mlp,bottom,manual_weak_bottom_label,115,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [48, 24], ""learning_rate_init"": 0.001, ""max_iter"": 600, ""negative_sample_ratio"": 3.0}",ok,
2021-10-25,2021-10-29,349,1.0,0.05666090,0.05696759,-0.01132722,1,0,0.5061637609583527,2021,True,mlp,bottom,manual_weak_bottom_label,115,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [48, 24], ""learning_rate_init"": 0.001, ""max_iter"": 600, ""negative_sample_ratio"": 3.0}",ok,
2021-11-01,2021-11-05,350,1.0,0.07459172,0.07915490,-0.00515347,1,0,0.5238054582103977,2021,True,mlp,bottom,manual_weak_bottom_label,115,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [48, 24], ""learning_rate_init"": 0.001, ""max_iter"": 600, ""negative_sample_ratio"": 3.0}",ok,
2021-01-25,2021-01-29,310,0.0,0.03545762,0.03549823,-0.04808904,1,0,0.2142564976537849,2021,True,svm,bottom,manual_weak_bottom_label,115,"{""C"": 0.5, ""gamma"": ""scale""}",ok,
2021-02-01,2021-02-05,311,1.0,0.04633486,0.10158525,-0.00733430,1,0,0.26277588562530513,2021,True,svm,bottom,manual_weak_bottom_label,115,"{""C"": 0.5, ""gamma"": ""scale""}",ok,
2021-03-08,2021-03-12,316,0.0,0.02263074,0.02620136,-0.01450516,1,0,0.21204284605675017,2021,True,svm,bottom,manual_weak_bottom_label,115,"{""C"": 0.5, ""gamma"": ""scale""}",ok,
2021-03-15,2021-03-19,317,0.0,0.02379002,0.02952287,-0.01928804,1,0,0.23953252236262196,2021,True,svm,bottom,manual_weak_bottom_label,115,"{""C"": 0.5, ""gamma"": ""scale""}",ok,
2021-08-30,2021-09-03,341,0.0,0.00848884,0.05394884,-0.01020766,1,1,0.26669856408429854,2021,True,svm,bottom,manual_weak_bottom_label,115,"{""C"": 0.5, ""gamma"": ""scale""}",ok,
2021-10-11,2021-10-15,347,1.0,0.00532950,0.03165985,-0.01576973,1,0,0.2108219532646229,2021,True,svm,bottom,manual_weak_bottom_label,115,"{""C"": 0.5, ""gamma"": ""scale""}",ok,
2021-10-25,2021-10-29,349,1.0,0.05666090,0.05696759,-0.01132722,1,0,0.2541888847078422,2021,True,svm,bottom,manual_weak_bottom_label,115,"{""C"": 0.5, ""gamma"": ""scale""}",ok,
2021-11-01,2021-11-05,350,1.0,0.07459172,0.07915490,-0.00515347,1,0,0.19072200143991114,2021,True,svm,bottom,manual_weak_bottom_label,115,"{""C"": 0.5, ""gamma"": ""scale""}",ok,
2021-05-24,2021-05-28,327,,0.02530046,0.03190797,-0.00392958,0,1,0.01188461879607678,2021,True,logistic,top,manual_weak_top_label,104,"{""C"": 0.3}",ok,0.0
2021-05-31,2021-06-04,328,,0.03162868,0.04046639,-0.01735447,0,1,0.00024398698005494127,2021,True,logistic,top,manual_weak_top_label,104,"{""C"": 0.3}",ok,0.0
2021-06-07,2021-06-11,329,,0.00816565,0.03592003,-0.02698581,0,1,0.01993662031026965,2021,True,logistic,top,manual_weak_top_label,104,"{""C"": 0.3}",ok,0.0
2021-06-15,2021-06-18,330,,0.04067520,0.04402295,-0.00442297,0,1,0.019136947495887152,2021,True,logistic,top,manual_weak_top_label,104,"{""C"": 0.3}",ok,0.0
2021-06-21,2021-06-25,331,,0.03255986,0.04826518,-0.01647542,0,1,0.0049583622048751,2021,True,logistic,top,manual_weak_top_label,104,"{""C"": 0.3}",ok,0.0
2021-06-28,2021-07-02,332,,0.06815221,0.08166327,-0.00345017,0,1,0.05155553701467381,2021,True,logistic,top,manual_weak_top_label,104,"{""C"": 0.3}",ok,0.0
2021-07-05,2021-07-09,333,,0.01672766,0.04623319,-0.05492364,0,1,0.058220136465656554,2021,True,logistic,top,manual_weak_top_label,104,"{""C"": 0.3}",ok,0.0
