model,side,label,threshold,sample_mode,evaluated_years,complete_years,candidate_rows,signal_count,coverage,precision,natural_precision,actual_up_rate,actual_down_rate,avg_future_ret_3w,avg_future_mfe_3w,avg_future_mae_3w,natural_avg_future_ret_3w,precision_lift,avg_return_lift
lightgbm,top,manual_weak_top_label,0.6,non_overlapping,6,5,111,21,0.1891891891891892,0.5238095238095238,0.3333333333333333,0.38095238095238093,0.6190476190476191,-0.016506620476190476,0.028573796190476185,-0.05567255047619048,0.00734634927927928,0.19047619047619052,-0.023852969755469754
lightgbm,top,manual_weak_top_label,0.7,all_signals,6,5,111,33,0.2972972972972973,0.5454545454545454,0.3333333333333333,0.45454545454545453,0.5454545454545454,-0.011370356363636362,0.03145660454545455,-0.052977229393939396,0.00734634927927928,0.2121212121212121,-0.01871670564291564
lightgbm,top,manual_weak_top_label,0.7,non_overlapping,6,5,111,17,0.15315315315315314,0.5882352941176471,0.3333333333333333,0.4117647058823529,0.5882352941176471,-0.013888171764705883,0.034405469999999994,-0.05750423058823529,0.00734634927927928,0.25490196078431376,-0.021234521043985162
logistic,bottom,manual_weak_bottom_label,0.3,all_signals,6,5,80,24,0.3,0.25,0.25,0.5416666666666666,0.4583333333333333,0.030948137083333337,0.07585695958333334,-0.057014669999999996,0.012450520499999998,0.0,0.01849761658333334
logistic,bottom,manual_weak_bottom_label,0.3,non_overlapping,6,5,80,10,0.125,0.2,0.25,0.6,0.4,0.037450748,0.059464677,-0.060896415,0.012450520499999998,-0.04999999999999999,0.0250002275
logistic,bottom,manual_weak_bottom_label,0.4,all_signals,6,5,80,22,0.275,0.2727272727272727,0.25,0.5,0.5,0.02844676863636364,0.07660856272727273,-0.061476367272727275,0.012450520499999998,0.022727272727272707,0.01599624813636364
logistic,bottom,manual_weak_bottom_label,0.4,non_overlapping,6,5,80,10,0.125,0.2,0.25,0.6,0.4,0.037803502,0.061523147,-0.06095832799999999,0.012450520499999998,-0.04999999999999999,0.025352981500000003
logistic,bottom,manual_weak_bottom_label,0.5,all_signals,6,5,80,19,0.2375,0.2631578947368421,0.25,0.42105263157894735,0.5789473684210527,0.014479827368421051,0.06836136210526315,-0.05818580421052631,0.012450520499999998,0.01315789473684209,0.0020293068684210536
logistic,bottom,manual_weak_bottom_label,0.5,non_overlapping,6,5,80,9,0.1125,0.3333333333333333,0.25,0.5555555555555556,0.4444444444444444,0.044241128888888884,0.06981772555555556,-0.04242610333333333,0.012450520499999998,0.08333333333333331,0.031790608388888884
logistic,bottom,manual_weak_bottom_label,0.6,all_signals,6,5,80,12,0.15,0.16666666666666666,0.25,0.3333333333333333,0.6666666666666666,0.0017711674999999992,0.052985142500000006,-0.06752899916666667,0.012450520499999998,-0.08333333333333334,-0.010679352999999999
logistic,bottom,manual_weak_bottom_label,0.6,non_overlapping,6,5,80,7,0.0875,0.2857142857142857,0.25,0.5714285714285714,0.42857142857142855,0.05176911,0.08117458142857144,-0.03755833571428572,0.012450520499999998,0.0357142857142857,0.0393185895
logistic,bottom,manual_weak_bottom_label,0.7,all_signals,6,5,80,11,0.1375,0.18181818181818182,0.25,0.2727272727272727,0.7272727272727273,-0.006333597272727274,0.04942271272727273,-0.07310647909090909,0.012450520499999998,-0.06818181818181818,-0.01878411777272727
logistic,bottom,manual_weak_bottom_label,0.7,non_overlapping,6,5,80,6,0.075,0.3333333333333333,0.25,0.5,0.5,0.045243365,0.0793417,-0.042788605,0.012450520499999998,0.08333333333333331,0.0327928445
logistic,top,manual_weak_top_label,0.3,all_signals,6,5,111,73,0.6576576576576577,0.4246575342465753,0.3333333333333333,0.5616438356164384,0.4383561643835616,0.002515794246575342,0.039163546712328766,-0.038229562739726025,0.00734634927927928,0.091324200913242,-0.004830555032703937
logistic,top,manual_weak_top_label,0.3,non_overlapping,6,5,111,36,0.32432432432432434,0.4166666666666667,0.3333333333333333,0.5833333333333334,0.4166666666666667,0.005172543888888889,0.04284016166666667,-0.036616391666666664,0.00734634927927928,0.08333333333333337,-0.002173805390390391
logistic,top,manual_weak_top_label,0.4,all_signals,6,5,111,67,0.6036036036036037,0.417910447761194,0.3333333333333333,0.582089552238806,0.417910447761194,0.003406995074626865,0.04076989597014926,-0.0384898147761194,0.00734634927927928,0.0845771144278607,-0.003939354204652415
logistic,top,manual_weak_top_label,0.4,non_overlapping,6,5,111,33,0.2972972972972973,0.45454545454545453,0.3333333333333333,0.6363636363636364,0.36363636363636365,0.005171584545454544,0.04634466424242424,-0.03612406121212121,0.00734634927927928,0.12121212121212122,-0.0021747647338247354
logistic,top,manual_weak_top_label,0.5,all_signals,6,5,111,64,0.5765765765765766,0.4375,0.3333333333333333,0.5625,0.4375,0.0027131218749999997,0.039958018124999994,-0.0397942528125,0.00734634927927928,0.10416666666666669,-0.00463322740427928
